N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
168,이노션,"64,900",700,-1.07%,500,"12,980","20,000",29.64,"96,262",20.21,9.88,
169,KBSTAR 200,"43,870",455,+1.05%,0,"12,744","29,050",0.11,"89,960",N/A,N/A,
170,한전KPS,"28,300",50,+0.18%,200,"12,735","45,000",11.03,"161,769",10.50,14.98,
171,SK네트웍스,"5,010",45,+0.91%,"2,500","12,434","248,188",12.27,"705,055",-21.69,-5.85,
172,DGB금융지주,"7,320",170,+2.38%,"5,000","12,381","169,146",47.00,"972,396",3.73,7.31,
173,신세계인터내셔날,"173,000","5,000",+2.98%,"5,000","12,352","7,140",5.22,"131,680",27.40,12.98,
174,KODEX 코스닥150 레버리지,"17,190",130,+0.76%,0,"12,256","71,300",2.49,"19,643,890",N/A,N/A,
175,SK디스커버리,"62,700",200,+0.32%,"5,000","11,937","19,038",9.64,"57,942",4.12,11.52,
176,한국콜마,"51,900",900,+1.76%,500,"11,875","22,881",27.98,"264,142",37.34,6.39,
177,코오롱인더,"43,950","1,600",+3.78%,"5,000","11,857","26,979",15.56,"442,603",7.87,1.58,
178,KG동부제철,"11,850",300,+2.60%,"5,000","11,851","100,009",0.12,"245,171",14.38,-7.44,
179,대한전선,"1,360",10,+0.74%,500,"11,648","856,473",1.86,"3,453,656",-75.56,-3.99,
180,JB금융지주,"5,800",110,+1.93%,"5,000","11,425","196,983",39.07,"657,982",3.30,10.36,
181,세방전지,"81,600",100,+0.12%,500,"11,424","14,000",26.73,"160,970",15.46,7.70,
182,더블유게임즈,"62,100",600,+0.98%,500,"11,411","18,375",14.32,"102,305",10.65,18.93,
183,일양약품,"59,100",100,+0.17%,"2,500","11,280","19,086",7.76,"112,971",109.24,5.20,
184,후성,"12,050",100,+0.84%,500,"11,159","92,607",4.48,"1,680,040",-219.09,3.85,
185,롯데칠성,"121,000","3,500",+2.98%,500,"10,860","8,975",10.99,"95,120",-12.41,-11.68,
186,보령제약,"22,750",900,-3.81%,500,"10,834","47,620",7.09,"1,840,096",40.77,11.96,
187,금호타이어,"3,760",20,+0.53%,"5,000","10,801","287,260",4.54,"572,879",-10.77,-3.30,
188,다우기술,"24,000",150,+0.63%,500,"10,768","44,867",22.66,"402,850",3.86,14.62,
189,티와이홀딩스,"28,150",150,-0.53%,500,"10,556","37,501",7.96,"133,654",N/A,N/A,
190,롯데관광개발,"14,950",100,-0.66%,500,"10,357","69,276",4.91,"318,661",-21.95,-4.77,
191,LG전자우,"60,100",300,+0.50%,"5,000","10,329","17,186",37.17,"262,186",13.05,N/A,
192,LG상사,"26,500",600,+2.32%,"5,000","10,271","38,760",22.03,"221,947",7.22,2.49,
193,GKL,"16,300",100,+0.62%,500,"10,082","61,856",6.21,"443,939",-75.81,12.62,
194,영풍,"547,000","13,000",+2.43%,"5,000","10,076","1,842",4.68,"1,064",5.44,7.40,
195,휴켐스,"24,600",200,-0.81%,"1,000","10,056","40,879",8.50,"205,322",20.87,10.82,
196,KODEX 인버스,"3,835",35,-0.90%,0,"10,025","261,400",1.92,"95,175,958",N/A,N/A,
197,SK가스,"108,500","2,000",+1.88%,"5,000","10,015","9,230",9.47,"27,289",2.54,9.85,
198,동원시스템즈,"38,950",0,0.00%,"5,000","9,978","25,619",1.45,"50,024",22.13,8.69,
199,대상,"28,700","1,450",+5.32%,"1,000","9,944","34,648",16.10,"770,483",6.87,11.17,
200,CJ CGV,"28,200",50,+0.18%,500,"9,898","35,100",6.06,"670,268",-1.52,-57.60,
